date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:07	344/344	---MCZ	200	added ('OK')	text/plain	date:Sat,%2022%20Nov%202025%2006:35:01%20GMT	https://www.haravan.com/robots.txt		(from )
13:37:08	606984/606984	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2006:35:02%20GMT	https://www.haravan.com/	D:/freelance/phuong-nam-media/haravan/www.haravan.com/index.html	(from )
13:37:09	644/644	---M--	200	added ('OK')	image/png	etag:%228afd2a4c116f1900651ce9acc9d22d3b%22	http://hstatic.net/0/0/global/design/haravan/h_haravan_home/images/img_commont/favicon.png	D:/freelance/phuong-nam-media/haravan/hstatic.net/0/0/global/design/haravan/h_haravan_home/images/img_commont/favicon.png	(from https://www.haravan.com/)
13:37:11	49730/49730	---M--	200	added ('OK')	image/png	etag:%22d4b1edf4a8e20fcc24b7c776944d89df%22	http://theme.hstatic.net/1000001117/1001120712/14/sharefb-home.png?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/sharefb-home9d62.png	(from https://www.haravan.com/)
13:37:11	80177/80177	---M--	200	added ('OK')	image/jpeg	etag:%228bf059f2a35c409827f494137bdabc0e%22	https://file.hstatic.net/1000001117/file/2_website_chuyen_doi_cao.jpg	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/2_website_chuyen_doi_cao.jpg	(from https://www.haravan.com/)
13:37:11	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2006:35:05%20GMT	https://www.haravan.com/owl.video.play.png	D:/freelance/phuong-nam-media/haravan/www.haravan.com/owl.video.play.png	(from https://www.haravan.com/)
13:37:13	13769/13769	---MCZ	200	added ('OK')	text/css	etag:W/%224b09df84f36afadf9d6c1808846ba604%22	http://theme.hstatic.net/1000001117/1001120712/14/jquery.fancybox_v3-2018.min.css?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/jquery.fancybox_v3-2018.min9d62.css	(from https://www.haravan.com/)
13:37:14	1333/1333	---MCZ	200	added ('OK')	text/css	etag:W/%2242b49a15302b8dbe9b981aeb6e4110b7%22	http://theme.hstatic.net/1000001117/1001120712/14/slick.min.css?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/slick.min9d62.css	(from https://www.haravan.com/)
13:37:14	108333/108333	---MCZ	200	added ('OK')	text/css	etag:W/%2264eae14e02409e148a42408236933133%22	http://theme.hstatic.net/1000001117/1001120712/14/slicknav-v1.5.css?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/slicknav-v1.59d62.css	(from https://www.haravan.com/)
13:37:14	30733/30733	---MCZ	200	added ('OK')	text/css	etag:W/%22bae290272d2bfb6edaa91219179a98ee%22	http://theme.hstatic.net/1000001117/1001120712/14/menumain-new.scss.css?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/menumain-new.scss9d62.css	(from https://www.haravan.com/)
13:37:15	69378/69378	---MCZ	200	added ('OK')	text/css	etag:W/%22836c51c8719ec821f516c79e610c71b7%22	http://theme.hstatic.net/1000001117/1001120712/14/homepage-2025.scss.css?v=29306	D:/freelance/phuong-nam-media/haravan/theme.hstatic.net/1000001117/1001120712/14/homepage-2025.scss9d62.css	(from https://www.haravan.com/)
